constant    1: beta    0, exp    1
constant  214: beta   56, exp   86
constant  215: beta   43, exp   67
constant  216: beta   23, exp   35
constant  217: beta   52, exp   71
constant  218: beta   10, exp   16
constant  219: beta    1, exp    3
constant  220: beta   65, exp   90
constant  221: beta  131, exp  173
constant  222: beta  137, exp  151
constant  223: beta  100, exp  111
constant  224: beta   53, exp   87
constant  225: beta   43, exp   67
constant  226: beta   36, exp   54
constant  227: beta   88, exp  129
constant  228: beta  105, exp  147
constant  229: beta  213, exp  254
constant  230: beta  274, exp  337
constant  231: beta  165, exp  219
constant  232: beta  113, exp  169
constant  233: beta   13, exp   17
constant  234: beta   15, exp   21
constant  235: beta   39, exp   75
constant  236: beta   39, exp   67
constant  237: beta   77, exp  104
constant  238: beta   18, exp   26
constant  239: beta  304, exp  423
constant  240: beta  110, exp  170
constant  241: beta    8, exp   21
constant  242: beta  132, exp  134
constant  243: beta  167, exp  172
constant  244: beta  170, exp  175
constant  245: beta    8, exp   21
constant  246: beta   36, exp   61
constant  247: beta   40, exp   71
constant  248: beta  141, exp  157
constant  249: beta  183, exp  186
constant  250: beta  256, exp  256
constant  251: beta  210, exp  228
constant  252: beta   60, exp   75
constant  253: beta    8, exp   21
constant  254: beta  138, exp  208
constant  255: beta  138, exp  186
constant  256: beta  162, exp  190
constant  257: beta   43, exp   67
constant  258: beta    8, exp   20
constant  259: beta   77, exp  109
constant  260: beta    0, exp    0
constant  261: beta    1, exp    5
constant  262: beta    7, exp   17
constant  263: beta   13, exp   28
constant  264: beta   16, exp   33
constant  265: beta   56, exp   98
constant  266: beta   66, exp  115
constant  267: beta   45, exp   83
constant  268: beta  115, exp  205
constant  269: beta  115, exp  205
constant  270: beta  303, exp  508
constant  271: beta   72, exp  137
constant  272: beta    0, exp    0
constant  273: beta    1, exp    4
constant  274: beta    1, exp    4
constant  275: beta    1, exp    4
constant  276: beta   29, exp   46
constant  277: beta   70, exp  116
constant  278: beta   19, exp   29
constant  279: beta   55, exp   85
constant  280: beta   19, exp   29
constant  281: beta   55, exp   85
constant  282: beta   22, exp   31
constant  283: beta   57, exp   83
constant  284: beta   84, exp   92
constant  285: beta   68, exp   71
constant  286: beta  134, exp  131
constant  287: beta   85, exp   89
constant  288: beta   12, exp   24
constant  289: beta   25, exp   42
constant  290: beta   74, exp   95
constant  291: beta   57, exp   65
constant  292: beta   71, exp   85
constant  293: beta   58, exp   87
constant  294: beta   85, exp   96
constant  295: beta   68, exp   73
constant  296: beta  134, exp  133
constant  297: beta   85, exp   91
constant  298: beta   13, exp   30
constant  299: beta   19, exp   32
constant  300: beta   74, exp   97
constant  301: beta   57, exp   67
constant  302: beta   71, exp   87
constant  303: beta   86, exp  112
constant  304: beta   31, exp   40
constant  305: beta   70, exp  112
constant  306: beta   77, exp  114
constant  307: beta   78, exp  116
constant  308: beta   49, exp   68
constant  309: beta   50, exp   72
constant  310: beta   16, exp   20
constant  311: beta   41, exp   63
constant  312: beta   44, exp   65
constant  313: beta   26, exp   32
constant  314: beta   51, exp   78
constant  315: beta   64, exp   92
constant  316: beta   86, exp  119
constant  317: beta  114, exp  158
constant  318: beta  103, exp  148
constant  319: beta   96, exp  136
constant  320: beta   10, exp   13
constant  321: beta   35, exp   56
constant  322: beta   35, exp   56
constant  323: beta   50, exp   73
constant  324: beta   69, exp  101
constant  325: beta   98, exp  131
constant  326: beta  191, exp  235
constant  327: beta  200, exp  223
constant  328: beta   89, exp  114
constant  329: beta  104, exp  149
constant  330: beta  171, exp  203
